City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
125,Ahuimanu,21.4447,-157.8378,84.78,64,20,9.22,few clouds
126,Namibe,-15.1961,12.1522,66.06,79,58,7.38,broken clouds
127,Chokurdakh,70.6333,147.9167,1.96,97,99,6.58,overcast clouds
128,Weihe,32.9952,105.3247,48.22,91,100,3.69,overcast clouds
129,Ankazobe,-18.3167,47.1167,61.21,78,12,3.0,few clouds
130,Ondjiva,-17.0667,15.7333,80.87,19,81,10.04,broken clouds
131,Tuatapere,-46.1333,167.6833,47.97,94,100,17.67,overcast clouds
132,Lompoc,34.6391,-120.4579,76.69,79,1,17.27,clear sky
133,Naryan-Mar,67.6713,53.087,17.42,92,100,13.49,overcast clouds
134,Lincoln,40.8,-96.667,69.75,41,1,1.99,clear sky
135,San Cristobal,7.7669,-72.225,68.18,97,100,1.86,moderate rain
136,Umm Lajj,25.0213,37.2685,84.31,44,37,8.21,scattered clouds
137,Anamur,36.0751,32.8369,64.42,57,80,4.79,broken clouds
138,Ziarat,30.3823,67.7282,44.47,27,0,10.63,clear sky
139,Shenjiamen,29.9576,122.298,65.48,76,11,7.56,few clouds
140,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.2,74,2,11.27,clear sky
141,Saldanha,-33.0117,17.9442,59.05,84,27,8.88,scattered clouds
142,Torbay,47.6666,-52.7314,40.75,80,1,4.61,clear sky
143,Cuamba,-14.8031,36.5372,73.8,45,0,0.58,clear sky
144,Nishihara,26.1842,127.7558,72.68,76,20,4.61,few clouds
145,Hermanus,-34.4187,19.2345,61.9,89,48,8.39,scattered clouds
146,Urucara,-2.5364,-57.76,80.56,72,80,4.0,broken clouds
147,Airai,-8.9266,125.4092,67.69,75,27,1.21,scattered clouds
148,Ribeira Grande,38.5167,-28.7,71.04,89,100,16.62,overcast clouds
149,Goderich,43.7501,-81.7165,50.92,81,100,3.44,overcast clouds
150,Coro,11.4045,-69.6734,79.7,84,100,13.22,overcast clouds
151,Lusambo,-4.9667,23.45,69.69,98,62,0.51,broken clouds
152,Olinda,-8.0089,-34.8553,80.33,65,40,10.36,scattered clouds
153,Hofn,64.2539,-15.2082,43.59,71,100,13.58,overcast clouds
154,Ancud,-41.8697,-73.8203,62.13,61,0,4.34,clear sky
155,Kandrian,-6.2167,149.55,83.44,78,74,7.23,light rain
156,Poplar Bluff,36.757,-90.3929,64.29,55,75,6.24,broken clouds
157,Ornskoldsvik,63.2909,18.7153,43.75,100,90,2.3,fog
158,Navahrudak,53.6,25.8333,44.33,71,9,13.11,clear sky
159,Dikson,73.5069,80.5464,7.0,91,100,16.06,overcast clouds
160,Jumla,29.2747,82.1838,42.03,76,2,4.32,clear sky
161,Sept-Iles,50.2001,-66.3821,43.05,86,20,2.3,few clouds
162,Pangnirtung,66.1451,-65.7125,32.68,99,100,9.13,snow
163,Kodiak,57.79,-152.4072,47.71,81,90,33.38,light rain
164,Sao Joao Da Barra,-21.6403,-41.0511,71.56,89,100,11.12,overcast clouds
165,Gijon,43.5357,-5.6615,59.25,91,94,4.38,overcast clouds
166,Tasiilaq,65.6145,-37.6368,24.96,65,93,4.41,overcast clouds
167,Pangody,65.85,74.4859,12.29,93,100,16.11,light snow
168,Lander,42.833,-108.7307,45.41,76,90,8.05,overcast clouds
169,Hasaki,35.7333,140.8333,54.28,66,85,8.75,overcast clouds
170,Kaitangata,-46.2817,169.8464,50.41,92,99,18.39,overcast clouds
171,Hobyo,5.3505,48.5268,79.61,69,9,13.6,clear sky
172,Mount Isa,-20.7333,139.5,78.57,22,75,13.8,broken clouds
173,Kostomuksha,64.571,30.5767,40.26,96,99,9.71,overcast clouds
174,Bosaso,11.2842,49.1816,80.51,71,6,4.05,clear sky
175,Eyl,7.9803,49.8164,77.41,79,85,10.27,light rain
176,Labuhan,-6.8844,112.2051,80.37,81,92,4.43,overcast clouds
177,Port Blair,11.6667,92.75,80.47,81,99,4.07,overcast clouds
178,Milkovo,54.7167,158.6167,31.64,75,95,6.89,overcast clouds
179,Guerrero Negro,27.9769,-114.0611,73.04,57,0,13.35,clear sky
180,Kitimat,54.0524,-128.6534,44.91,61,99,4.9,overcast clouds
181,Deputatskiy,69.3,139.9,-7.78,98,98,5.08,overcast clouds
182,Neryungri,56.6709,124.6491,3.22,94,60,2.1,broken clouds
183,Suez,29.9737,32.5263,78.01,44,92,2.15,overcast clouds
184,Neiafu,-18.65,-173.9833,81.28,74,40,11.5,scattered clouds
185,Kutum,14.2,24.6667,73.71,19,25,9.73,scattered clouds
186,Port Alfred,-33.5906,26.891,65.75,81,85,4.52,overcast clouds
187,Algiers,36.7525,3.042,66.02,68,75,3.44,broken clouds
188,Thinadhoo,0.5333,72.9333,82.94,75,70,18.52,broken clouds
189,Richards Bay,-28.783,32.0377,61.97,84,48,6.8,scattered clouds
190,Vostok,46.4856,135.8833,36.81,77,100,0.25,overcast clouds
191,Kavaratti,10.5669,72.642,81.66,73,81,2.93,broken clouds
192,Barrow,71.2906,-156.7887,15.82,79,90,6.91,overcast clouds
193,Muros,42.7762,-9.0603,65.23,89,100,15.7,overcast clouds
194,Tomatlan,19.9333,-105.25,83.35,70,10,4.9,clear sky
195,Saint-Pierre,-21.3393,55.4781,69.48,75,0,6.91,clear sky
196,Ivanovka,42.8878,75.085,36.03,56,100,1.74,overcast clouds
197,Angoche,-16.2325,39.9086,73.29,78,2,8.32,clear sky
198,Fortuna,40.5982,-124.1573,66.47,67,1,3.0,clear sky
199,Antakya,36.2066,36.1572,67.82,67,55,5.23,broken clouds
200,Denpasar,-8.65,115.2167,76.71,94,40,2.3,scattered clouds
201,Macae,-22.3708,-41.7869,73.15,94,90,3.44,overcast clouds
202,Merauke,-8.4667,140.3333,83.35,73,86,7.61,overcast clouds
203,Codrington,-38.2667,141.9667,55.06,73,2,7.11,clear sky
204,Bilma,18.6853,12.9164,80.78,26,44,17.76,scattered clouds
205,Matelandia,-25.2408,-53.9964,68.36,97,100,5.21,light rain
206,Cockburn Town,21.4612,-71.1419,82.36,69,40,9.22,scattered clouds
207,Baraboo,43.4711,-89.7443,60.21,58,1,4.61,clear sky
208,Khatanga,71.9667,102.5,-1.91,99,83,0.81,broken clouds
209,Huilong,31.8111,121.655,62.04,76,52,3.76,broken clouds
210,Catuday,16.2923,119.8062,78.3,77,7,10.56,clear sky
211,Khuzhir,53.1939,107.3397,35.04,70,100,7.2,overcast clouds
212,Bubaque,11.2833,-15.8333,79.21,79,100,5.48,light rain
213,Byron Bay,-28.65,153.6167,67.05,83,99,20.49,overcast clouds
214,Thompson,55.7435,-97.8558,35.76,87,90,9.22,overcast clouds
215,Tyukhtet,56.5389,89.3011,25.59,59,98,8.12,overcast clouds
216,Souillac,-20.5167,57.5167,70.36,94,20,3.44,few clouds
217,Praia Da Vitoria,38.7333,-27.0667,70.05,88,40,10.33,scattered clouds
218,Akdepe,42.0551,59.3788,37.49,54,2,5.91,clear sky
219,Basoko,1.2391,23.616,71.29,89,47,2.3,scattered clouds
220,Sirjan,29.452,55.6814,58.12,29,9,3.58,clear sky
221,Longyearbyen,78.2186,15.6401,24.64,68,40,3.44,scattered clouds
222,Muravlenko,63.7898,74.523,6.8,94,94,14.65,overcast clouds
223,Inuvik,68.3499,-133.7218,20.41,86,40,0.0,scattered clouds
224,Riyadh,24.6877,46.7219,73.54,41,17,5.82,few clouds
225,San Jeronimo,-11.9472,-75.2829,57.33,64,94,6.53,overcast clouds
226,Cortes,41.9395,-1.4396,63.45,80,100,5.03,overcast clouds
227,Weyburn,49.6668,-103.8511,39.42,52,99,20.71,overcast clouds
228,Honiara,-9.4333,159.95,87.39,65,67,7.2,broken clouds
229,Constitucion,-35.3333,-72.4167,57.4,79,100,12.62,overcast clouds
230,Bucerias,20.75,-105.3333,84.97,83,22,3.91,few clouds
231,Zhezkazgan,47.8043,67.7144,43.68,66,100,16.24,overcast clouds
232,Fort Nelson,58.8053,-122.7002,40.59,45,20,8.05,few clouds
233,Meulaboh,4.1363,96.1285,75.31,87,92,4.61,overcast clouds
234,Rio Cuarto,-33.1307,-64.3499,71.37,83,75,11.5,thunderstorm
235,Wadi Musa,30.3222,35.4793,64.36,48,93,4.43,overcast clouds
236,Linfen,36.0889,111.5189,56.39,38,76,2.57,broken clouds
237,Uchiza,-8.4592,-76.4633,77.02,77,84,3.0,broken clouds
238,Lazaro Cardenas,17.9583,-102.2,82.18,76,1,4.12,clear sky
239,Iranshahr,27.2025,60.6848,72.18,25,1,1.54,clear sky
240,Sao Filipe,14.8961,-24.4956,79.99,75,84,13.11,broken clouds
241,Coihaique,-45.5752,-72.0662,58.95,23,0,12.66,clear sky
242,Orlik,52.5178,99.825,25.86,70,100,2.95,overcast clouds
243,Esperance,-33.8667,121.9,55.24,56,11,13.94,few clouds
244,Ukiah,39.1502,-123.2078,66.87,58,75,8.05,broken clouds
245,Danville,36.586,-79.395,58.28,80,98,1.01,overcast clouds
246,Maniitsoq,65.4167,-52.9,35.37,98,100,24.09,moderate rain
247,Urumqi,43.801,87.6005,41.95,65,0,4.47,clear sky
248,Norman Wells,65.282,-126.8329,19.44,93,75,6.91,broken clouds
249,Balgazyn,51.0,95.2,33.28,62,100,1.72,light snow
250,Svetlaya,46.5389,138.3297,45.01,81,99,16.42,overcast clouds
251,Lavrentiya,65.5833,-171.0,13.84,80,28,6.53,scattered clouds
252,Ostrovnoy,68.0531,39.5131,34.5,96,100,6.64,overcast clouds
253,Smithers,54.7804,-127.1743,37.72,60,1,2.3,clear sky
254,Abakan,53.7156,91.4292,35.98,64,0,11.99,clear sky
255,Victoria,22.2855,114.1577,75.33,83,90,3.0,overcast clouds
256,Leua,48.2156,18.6071,50.11,62,0,8.97,clear sky
257,Pindiga,9.9833,10.9333,77.63,31,97,2.98,overcast clouds
258,Mitsamiouli,-11.3847,43.2844,77.47,79,12,10.29,few clouds
259,Pimentel,-6.8367,-79.9342,64.69,77,20,17.27,few clouds
260,Atherton,53.5237,-2.4935,48.29,88,33,1.01,scattered clouds
261,Mahebourg,-20.4081,57.7,70.25,94,20,3.44,few clouds
262,Tamandare,-8.7597,-35.1047,76.91,74,2,10.49,clear sky
263,Tocopilla,-22.092,-70.1979,66.31,63,11,4.0,few clouds
264,Tirat Karmel,32.7617,34.9719,68.95,69,80,2.89,broken clouds
265,Strezhevoy,60.7333,77.5889,8.58,99,90,2.91,overcast clouds
266,Clyde River,70.4692,-68.5914,28.63,100,90,26.46,snow
267,Naze,28.3667,129.4833,65.32,76,1,6.46,clear sky
268,Kirakira,-10.4544,161.9205,86.27,66,58,12.24,broken clouds
269,Silale,55.4906,22.1814,46.24,85,9,10.13,clear sky
270,Geraldton,-28.7667,114.6,52.21,87,0,9.22,clear sky
271,Guilin,25.2819,110.2864,60.91,92,100,3.22,overcast clouds
