City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
151,Lannion,FR,48.75,-3.4167,55.65,94,75,14.97,broken clouds
152,Acapulco,MX,16.8634,-99.8901,84.02,74,75,3.44,broken clouds
153,San Cristobal,VE,7.7669,-72.225,66.38,99,100,1.74,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,70.86,88,100,18.19,overcast clouds
155,Sioux Lookout,CA,50.1001,-91.917,37.47,87,75,13.8,broken clouds
156,Nizhniy Odes,RU,63.6445,54.856,24.06,96,100,4.34,overcast clouds
157,Cururupu,BR,-1.8283,-44.8683,74.43,93,9,3.15,clear sky
158,North Bend,US,43.4065,-124.2243,55.17,97,90,5.75,mist
159,Yaya,RU,56.206,86.44,26.91,60,100,9.22,overcast clouds
160,Kavaratti,IN,10.5669,72.642,81.79,73,98,2.86,overcast clouds
161,Maua,BR,-23.6678,-46.4614,66.36,88,100,4.5,overcast clouds
162,Mahebourg,MU,-20.4081,57.7,73.26,94,75,3.44,broken clouds
163,Bandarbeyla,SO,9.4942,50.8122,78.21,80,98,10.16,light rain
164,Honiara,SB,-9.4333,159.95,88.09,63,48,7.61,scattered clouds
165,Emba,KZ,48.8264,58.1442,37.42,76,10,8.86,clear sky
166,Ende,ID,-8.8432,121.6623,86.54,67,67,2.68,broken clouds
167,Kununurra,AU,-15.7667,128.7333,91.38,49,40,10.36,scattered clouds
168,Jiayuguan,CN,39.8167,98.3,42.82,34,65,5.53,broken clouds
169,Hithadhoo,MV,-0.6,73.0833,82.65,76,100,19.98,overcast clouds
170,Atuona,PF,-9.8,-139.0333,78.35,70,20,12.15,few clouds
171,Sinnamary,GF,5.3833,-52.95,78.91,84,32,6.98,scattered clouds
172,Qasigiannguit,GL,68.8193,-51.1922,35.85,76,100,12.17,overcast clouds
173,Baykit,RU,61.67,96.37,17.64,87,100,11.43,overcast clouds
174,Kikwit,CD,-5.041,18.8162,69.6,97,100,1.97,light rain
175,Saskylakh,RU,71.9167,114.0833,12.51,94,100,10.89,overcast clouds
176,Hofn,IS,64.2539,-15.2082,43.12,65,100,16.37,overcast clouds
177,Portland,US,45.5234,-122.6762,55.98,38,20,3.0,few clouds
178,Valdez,EC,1.2492,-78.9831,76.35,80,52,7.96,broken clouds
179,Silvan,TR,38.1419,41.0081,57.49,91,100,4.09,light rain
180,Chapais,CA,49.7834,-74.8492,44.38,75,100,7.0,overcast clouds
181,Hasaki,JP,35.7333,140.8333,62.89,71,91,11.14,overcast clouds
182,Lagoa,PT,39.05,-27.9833,69.67,86,100,15.82,overcast clouds
183,Umkomaas,ZA,-30.2067,30.7978,63.68,80,4,7.36,clear sky
184,Hagdan,PH,11.3333,123.9,82.99,71,100,19.1,overcast clouds
185,Yakeshi,CN,49.2833,120.7333,31.59,29,3,2.44,clear sky
186,Bogense,DK,55.5669,10.0886,53.6,93,100,13.82,overcast clouds
